year,event,sta,cast,bot,press,depth,temp,potemp,sal_bot,sigma_t,O2_ml_L,NO3,NO2,PO4,SiO4,NH4_orig,NH4,TPC,PON,TALK_b,TCO2_b,TCO2_t,pCO2_20,TALK_t
1989,04200614,4,2,12,29,28,8.253,8.250,35.214,27.404,6.37,13.2,0.09,0.87,6.7,nd,nd,nd,nd,2327,2142,2117,579,2315
1989,04200614,4,2,1,53,53,8.276,8.271,35.232,27.415,6.30,13.2,0.05,0.85,6.9,nd,nd,nd,nd,2330,2146,2110,578,2307
1989,04200614,4,2,2,79,78,8.232,8.224,35.223,27.415,6.30,13.2,0.06,0.85,6.9,nd,nd,nd,nd,2323,2146,2112,579,2309
1989,04200614,4,2,3,104,103,8.178,8.168,35.215,27.418,6.31,13.3,0.06,0.86,6.9,nd,nd,nd,nd,2330,2147,2113,580,2310
1989,04200614,4,2,4,153,152,8.100,8.085,35.200,27.419,6.31,13.4,0.11,0.88,7.0,nd,nd,nd,nd,2329,2147,2117,583,2313
1989,04200614,4,2,5,203,201,8.106,8.085,35.203,27.420,6.29,13.4,0.11,0.87,6.9,nd,nd,nd,nd,2324,2146,2116,585,2312
1989,04200614,4,2,6,301,298,8.097,8.066,35.206,27.426,6.28,13.5,0.09,0.87,6.9,nd,nd,nd,nd,2323,2148,2115,584,2310
1989,04200614,4,2,7,399,395,7.831,7.791,35.164,27.435,6.12,14.5,0.07,0.94,7.6,nd,nd,nd,nd,2326,2152,2124,608,2313
1989,04200614,4,2,8,503,498,7.328,7.279,35.103,27.461,5.86,15.9,0.02,1.04,8.9,nd,nd,nd,nd,2324,2162,2135,650,2313
1989,04200614,4,2,9,962,951,5.107,5.025,34.985,27.660,5.48,18.8,0.00,1.22,12.0,nd,nd,nd,nd,2319,2182,2157,750,2311
1989,04200614,4,2,10,1143,1129,4.369,4.277,34.937,27.707,5.89,18.4,0.00,1.20,11.7,nd,nd,nd,nd,2315,2176,2149,760,2299
1989,04200614,4,2,11,1351,1334,3.936,3.830,34.912,27.734,6.19,17.9,0.00,1.16,11.5,nd,nd,nd,nd,2314,2172,2148,739,2302
1989,04220350,7,1,1,27,27,9.544,9.540,35.276,27.246,6.36,11.3,0.15,0.75,6.2,nd,nd,5.94,0.95,2348,2149,2109,543,2319
1989,04220350,7,1,2,52,52,9.330,9.324,35.261,27.270,6.26,11.8,0.16,0.78,6.3,nd,nd,3.52,0.71,2340,2149,2111,556,2316
1989,04220350,7,1,3,76,76,9.302,9.293,35.258,27.273,6.22,12.0,0.17,0.78,6.3,nd,nd,2.60,0.40,2324,2139,2107,560,2310
1989,04220350,7,1,4,100,100,9.292,9.281,35.257,27.274,6.20,12.1,0.18,0.79,6.2,nd,nd,2.51,0.26,2324,2142,2109,563,2311
1989,04220350,7,1,5,149,147,9.282,9.265,35.257,27.276,6.19,12.1,0.19,0.79,6.2,nd,nd,1.26,0.25,2325,2140,2112,564,2315
1989,04220350,7,1,6,251,249,9.261,9.233,35.253,27.279,6.19,12.2,0.19,0.80,6.3,nd,nd,2.33,0.31,2323,2141,2117,564,2320
1989,04220350,7,1,7,353,350,8.125,8.089,35.106,27.344,5.08,17.3,0.02,1.12,10.0,nd,nd,nd,nd,2315,2170,2141,699,2306
1989,04220350,7,1,8,506,501,6.816,6.769,35.066,27.503,4.97,18.9,0.01,1.22,11.8,nd,nd,nd,nd,2319,2184,2153,759,2304
1989,04220350,7,1,9,744,737,5.988,5.921,35.122,27.659,5.18,18.8,0.02,1.21,12.3,nd,nd,nd,nd,2319,2187,2167,764,2319
1989,04220350,7,1,10,988,977,4.549,4.469,34.981,27.721,5.85,18.1,0.02,1.17,11.9,nd,nd,nd,nd,2308,2175,2151,759,2301
1989,04220350,7,1,11,1177,1164,4.002,3.910,34.930,27.740,6.15,17.7,0.02,1.15,11.8,nd,nd,nd,nd,2304,2170,2140,748,2292
1989,04220350,7,1,12,1376,1360,3.809,3.702,34.928,27.759,6.24,17.3,0.02,1.13,12.0,nd,nd,nd,nd,2307,2167,2150,738,2305
1989,04250424,10,1,8,3,3,nd,nd,nd,nd,5.98,5.7,0.31,0.38,2.5,nd,nd,5.51,0.86,nd,nd,nd,450,nd
1989,04250424,10,1,5,10,10,nd,nd,nd,nd,5.97,5.7,0.31,0.38,2.2,nd,nd,4.76,0.72,nd,nd,nd,450,nd
1989,04250424,10,1,4,20,20,nd,nd,nd,nd,5.98,5.7,0.31,0.39,2.2,nd,nd,5.15,0.78,nd,nd,nd,449,nd
1989,04250424,10,1,3,30,30,nd,nd,nd,nd,5.98,5.8,0.30,0.39,2.1,nd,nd,4.51,0.68,nd,nd,nd,448,nd
1989,04250424,10,1,2,40,40,nd,nd,nd,nd,5.97,5.8,0.30,0.39,2.2,nd,nd,5.19,0.79,nd,nd,nd,450,nd
1989,04250424,10,1,1,55,55,nd,nd,nd,nd,5.98,5.8,0.31,0.39,2.2,nd,nd,5.01,0.73,nd,nd,nd,449,nd
1989,04250503,10,2,1,2,2,12.601,12.601,35.715,27.028,5.99,5.9,0.27,0.38,2.4,nd,nd,nd,nd,2348,2113,2093,448,2344
1989,04250503,10,2,2,22,22,12.603,12.600,35.711,27.025,5.98,6.0,0.28,0.40,2.3,nd,nd,nd,nd,2344,2113,2093,450,2343
1989,04250503,10,2,3,42,41,12.609,12.603,35.710,27.023,5.99,6.0,0.28,0.40,2.3,nd,nd,nd,nd,2347,2113,2094,450,2344
1989,04250503,10,2,4,62,61,12.606,12.598,35.709,27.024,5.98,6.0,0.28,0.40,2.2,nd,nd,nd,nd,2343,2112,2090,451,2338
1989,04250503,10,2,5,82,81,12.612,12.601,35.709,27.023,5.98,6.0,0.28,0.39,2.2,nd,nd,nd,nd,2339,2112,2094,450,2343
1989,04250503,10,2,6,101,100,12.615,12.601,35.709,27.023,5.98,6.0,0.28,0.39,2.2,nd,nd,4.89,0.78,2344,2112,2094,449,2344
1989,04250503,10,2,7,121,120,12.456,12.440,35.688,27.039,5.90,7.0,0.33,0.45,2.5,nd,nd,nd,nd,2347,2119,2099,463,2343
1989,04250503,10,2,8,159,158,12.342,12.321,35.678,27.054,5.88,7.5,0.30,0.48,2.8,nd,nd,nd,nd,2349,2121,2100,468,2343
1989,04250503,10,2,9,193,191,12.217,12.191,35.661,27.066,5.84,7.9,0.24,0.51,3.0,nd,nd,2.02,0.29,nd,nd,2102,476,2341
1989,04250503,10,2,10,291,288,11.976,11.938,35.636,27.096,5.91,8.0,0.15,0.51,2.8,nd,nd,1.75,0.27,2344,2124,2103,480,2339
1989,04250503,10,2,11,387,384,11.406,11.356,35.536,27.128,5.34,11.7,0.02,0.71,4.6,nd,nd,0.98,0.08,2333,2143,2121,545,2334
1989,04250503,10,2,12,481,477,11.089,11.028,35.497,27.158,5.21,12.7,0.01,0.78,5.1,nd,nd,0.65,0.08,2334,2153,2125,564,2331
1989,04252015,10,8,1,2,2,12.661,12.661,35.708,27.010,6.04,5.8,0.28,0.38,2.3,nd,nd,nd,nd,2347,2115,2090,446,2340
1989,04252015,10,8,2,43,42,12.645,12.639,35.714,27.019,5.99,5.6,0.29,0.37,2.1,nd,nd,nd,nd,2340,2113,2090,446,2342
1989,04252015,10,8,3,63,62,12.625,12.617,35.715,27.024,nd,nd,nd,nd,nd,nd,nd,nd,nd,2340,2120,nd,nd,nd
1989,04252015,10,8,4,83,82,12.624,12.613,35.714,27.025,5.95,5.7,0.31,0.38,2.1,nd,nd,nd,nd,2340,2113,nd,451,nd
1989,04252015,10,8,5,102,101,12.622,12.608,35.714,27.025,5.95,5.7,0.31,0.38,2.1,nd,nd,nd,nd,2342,2115,2093,450,2342
1989,04252015,10,8,6,150,149,12.394,12.374,35.673,27.040,5.96,6.9,0.30,0.44,2.3,nd,nd,nd,nd,2338,2116,nd,461,nd
1989,04252015,10,8,7,305,302,11.794,11.754,35.595,27.099,5.57,9.9,0.02,0.60,3.8,nd,nd,nd,nd,2335,2132,2110,510,2335
1989,04252015,10,8,8,486,481,10.856,10.795,35.463,27.174,5.14,13.3,0.00,0.81,5.5,nd,nd,nd,nd,2338,2149,2128,583,2328
1989,04252015,10,8,9,750,743,9.259,9.173,35.280,27.310,4.72,17.1,0.00,1.08,9.1,nd,nd,0.40,0.07,nd,nd,2147,677,2319
1989,04252015,10,8,10,1001,991,8.139,8.031,35.386,27.573,4.55,18.4,0.00,1.17,11.0,nd,nd,0.47,0.05,2339,2193,2167,725,2329
1989,04252015,10,8,11,1506,1489,4.381,4.256,34.966,27.732,5.95,18.0,0.00,1.17,11.3,nd,nd,0.37,0.04,2316,2174,2149,749,2301
1989,04252015,10,8,12,2013,1988,3.648,3.485,34.915,27.771,6.29,17.3,0.00,1.15,11.9,nd,nd,1.00,0.11,2300,2166,2141,729,2297
1989,04260355,11,1,8,3,3,nd,nd,nd,nd,6.04,5.6,0.26,0.37,2.3,nd,nd,5.77,0.86,nd,nd,nd,nd,nd
1989,04260355,11,1,5,10,10,nd,nd,nd,nd,6.04,5.6,0.26,0.36,2.2,nd,nd,6.86,1.10,nd,nd,nd,nd,nd
1989,04260355,11,1,4,20,20,nd,nd,nd,nd,6.03,5.7,0.26,0.37,2.2,nd,nd,6.94,1.20,nd,nd,nd,nd,nd
1989,04260355,11,1,3,30,30,nd,nd,nd,nd,6.04,5.7,0.26,0.37,2.2,nd,nd,6.04,0.95,nd,nd,nd,nd,nd
1989,04260355,11,1,2,40,40,nd,nd,nd,nd,6.03,5.7,0.26,0.39,2.2,nd,nd,6.08,0.93,nd,nd,nd,nd,nd
1989,04260355,11,1,1,50,50,nd,nd,nd,nd,6.01,5.8,0.26,0.38,2.1,nd,nd,5.96,1.11,nd,nd,nd,nd,nd
1989,04260435,11,2,1,2,1,12.595,12.595,35.709,27.024,6.04,5.7,0.25,0.37,2.3,nd,nd,nd,nd,2353,2115,2090,444,2342
1989,04260435,11,2,2,22,22,12.600,12.597,35.709,27.024,6.05,5.7,0.26,0.37,2.2,nd,nd,nd,nd,2342,2114,2091,445,2342
1989,04260435,11,2,3,42,42,12.602,12.596,35.709,27.024,6.09,5.7,0.25,0.37,2.2,nd,nd,nd,nd,2344,2113,2090,445,2342
1989,04260435,11,2,4,62,61,12.575,12.567,35.704,27.026,6.03,5.8,0.26,0.38,2.2,nd,nd,nd,nd,2340,2112,2088,446,2339
1989,04260435,11,2,5,82,81,12.563,12.552,35.702,27.027,6.02,5.9,0.26,0.38,2.1,nd,nd,nd,nd,2339,2113,2089,448,2339
1989,04260435,11,2,6,102,101,12.545,12.531,35.699,27.029,6.00,5.9,0.26,0.39,2.1,nd,nd,nd,nd,2342,2114,2087,449,2336
1989,04260435,11,2,7,122,121,12.499,12.483,35.692,27.033,5.97,6.2,0.27,0.40,2.1,nd,nd,nd,nd,nd,nd,nd,nd,nd
1989,04260435,11,2,8,161,160,12.198,12.177,35.660,27.068,5.82,7.8,0.22,0.49,2.8,nd,nd,nd,nd,nd,nd,nd,nd,nd
1989,04260435,11,2,9,200,198,12.081,12.055,35.654,27.087,5.94,7.5,0.26,0.47,2.7,nd,nd,nd,nd,nd,nd,nd,nd,nd
1989,04260435,11,2,10,296,293,11.973,11.934,35.636,27.097,5.92,7.8,0.14,0.49,2.8,nd,nd,nd,nd,nd,nd,nd,nd,nd
1989,04260435,11,2,11,393,389,11.776,11.725,35.602,27.110,5.76,9.1,0.06,0.56,3.4,nd,nd,nd,nd,nd,nd,nd,nd,nd
1989,04260435,11,2,12,495,491,11.027,10.965,35.490,27.164,5.44,11.9,0.01,0.73,4.8,nd,nd,nd,nd,nd,nd,nd,nd,nd
1989,04262000,11,9,1,29,29,12.588,12.584,35.706,27.024,6.01,5.8,0.28,0.37,2.3,nd,nd,nd,nd,2354,2114,nd,446,nd
1989,04262000,11,9,2,53,53,12.592,12.585,35.706,27.024,6.02,5.7,0.28,0.37,2.2,nd,nd,nd,nd,2346,2113,nd,445,nd
1989,04262000,11,9,3,78,77,12.484,12.474,35.690,27.033,6.06,6.0,0.24,0.39,2.2,nd,nd,nd,nd,2342,2114,nd,446,nd
1989,04262000,11,9,4,103,102,12.414,12.400,35.677,27.038,6.04,6.4,0.25,0.41,2.4,nd,nd,nd,nd,nd,nd,nd,452,nd
1989,04262000,11,9,5,198,196,12.072,12.046,35.647,27.084,5.98,7.4,0.29,0.47,2.7,nd,nd,nd,nd,2337,2121,nd,471,nd
1989,04262000,11,9,6,302,300,11.972,11.932,35.636,27.097,5.92,7.9,0.13,0.49,2.9,nd,nd,nd,nd,2339,2123,nd,477,nd
1989,04262000,11,9,7,410,407,11.511,11.458,35.557,27.125,5.56,10.5,0.02,0.64,4.2,nd,nd,nd,nd,2341,2145,nd,nd,nd
1989,04262000,11,9,8,506,501,11.028,10.964,35.488,27.163,5.35,12.2,0.01,0.75,5.0,nd,nd,nd,nd,2334,2192,nd,nd,nd
1989,04262000,11,9,9,605,599,10.739,10.664,35.462,27.197,5.55,12.0,0.01,0.74,4.9,nd,nd,nd,nd,nd,nd,nd,nd,nd
1989,04262000,11,9,10,1057,1046,8.193,8.078,35.407,27.582,4.56,18.3,0.01,1.15,11.0,nd,nd,nd,nd,nd,nd,nd,nd,nd
1989,04262000,11,9,11,1560,1542,4.326,4.196,34.967,27.739,5.99,17.9,0.01,1.16,11.5,nd,nd,nd,nd,nd,nd,nd,nd,nd
1989,04262000,11,9,12,1997,1972,3.696,3.533,34.915,27.766,6.30,17.4,0.01,1.14,11.6,nd,nd,nd,nd,2303,2166,nd,nd,nd
1989,04270400,12,1,8,3,3,nd,nd,nd,nd,6.03,5.7,0.27,0.37,2.3,nd,nd,5.35,0.84,nd,nd,nd,nd,nd
1989,04270400,12,1,5,10,10,nd,nd,nd,nd,6.05,5.8,0.27,0.37,2.3,nd,nd,5.48,0.85,nd,nd,nd,nd,nd
1989,04270400,12,1,4,20,20,nd,nd,nd,nd,6.05,5.8,0.27,0.37,2.3,nd,nd,6.19,0.91,nd,nd,nd,nd,nd
